Astrid,艾絲翠得,丹麥,神聖的力量；星星的。
Jean,琴,法國,上帝是慈悲的。
Lorraine,洛倫,法國,來自法國洛林小鎮的人。
Marjorie,瑪喬麗,法國,珍珠。
Mignon,蜜妮安,法國,細緻而優雅。
Natalie,娜特莉,法國,聖誕日出生的。
Odelette,奧蒂列特,法國,聲音如音樂般。
Odelia,奧蒂莉亞,法國,身材嬌小；富有。
Pandora,潘朵拉,法國,世界上第一個女人。
Renee,蕾妮,法國,再生的。
Riva,莉娃,法國,在河堤或河邊的人。
Ruby,露比,法國,紅寶石。
Tess,泰絲,法國,豐收。
Tiffany,蒂芙妮,法國,薄紗；神聖。
Tracy,翠西,法國,市場小徑。
Vivien,維文,法國,活躍的。
Yvette,依耶芙特,法國,射手或弓箭手。
Yvonne,伊芳,法國,射手。
Irene,艾琳,法國，拉丁,和平；和平女神。
Joa,瓊,法國，神話,上帝仁慈的贈禮。
Roxanne,洛葛仙妮,波斯,顯赫的人，有才氣的人。
Leila,莉拉,阿拉伯,黑髮的美女子；夜晚出生的。
Martha,瑪莎,阿拉姆,家庭主婦。
Samantha,莎曼撤,阿拉姆,專心聆聽教誨的人。
Olga,歐爾佳,俄國,神聖的；和平。
Vera,維拉,俄國，拉丁,誠實，忠誠。
Gladys,葛萊蒂絲,威爾斯,公主。
Winifred,溫妮費德,威爾斯,白色的波浪；和善的朋友。
Winni,溫妮,威爾斯,白色的波浪；和善的朋友。
Meredith,瑪莉提絲,威爾絲,大海的保衛者。
Ada,艾達,英國,增光；快樂的；美麗。
Alberta,愛爾柏塔,英國,高貴顯赫的。
Beverly,貝芙麗,英國,有海狸的小河。
Bblythe,布萊茲,英國,無憂無慮的；快樂的。
Brook,布魯克,英國,傍溪而居之人。
Daisy,黛西,英國,雛菊。
Dale,黛兒,英國,居住在丘陵間之山谷中者。
Darlene,達蓮娜,英國,溫柔可愛；體貼地愛。
Dawn,潼恩,英國,黎明，喚醒，振作。
Eartha,爾莎,英國,土地或泥土；比喻像大地般堅忍的人。
Edwina,艾德文娜,英國,有價值的朋友；財產的獲得者。
Ethel,艾瑟兒,英國,尊貴的；出身高貴的。
Gail,蓋爾,英國,快樂的；唱歌；峽谷。
Hazel,海柔爾,英國,領袖，指揮官。
Heather,赫瑟爾,英國,開花的石楠。
Honey,漢妮,英國,親愛的人。
Jennifer,珍尼佛,英國,白色的波；施魔法，妖艷，迷人的女人。
Kay,凱伊,英國,欣喜的；亞瑟王之兄弟。
Kimberley,金百莉,英國,出生皇家草地上的人。
Lee,李,英國,草地的居民；庇護所。
Lydia,莉蒂亞,英國,來自里底亞的人，財富。
Lynn,琳,英國,傍湖而居的人。
Meroy,瑪希,英國,慈悲；同情；仁慈。
Merry,梅莉,英國,充滿樂趣和笑聲。
Mildred,穆得莉,英國,和善的顧問；溫柔的，和善的。
Queena,昆娜,英國,很高貴、貴族化的。
Sherry,雪莉,英國,來自草地的。
Shirley,雪麗,英國,來自草地的。
Spring,絲柏凌,英國,春天。
Yedda,耶達,英國,天生有歌唱的才華。
Yetta,依耶塔,英國,慷慨之捐贈者。
Pamela,潘蜜拉,英國，希臘,令人心疼，又喜惡作劇的小孩。
Grace,葛瑞絲,英國，法國，拉丁,優雅的。
Jill,姬兒,神話,少女；戀人。
Bertha,柏莎,條頓,聰明、美麗或燦爛的。
Blanche,布蘭琪,條頓,純潔無暇的；白種人的；白皙美麗的。
Caroline,卡洛琳,條頓,驍勇、剛健和強壯的。
Ella,艾拉,條頓,火炬
Emma,艾瑪,條頓,祖先。
Erica,艾麗卡,條頓,有權力的；帝王的；統治者。
Frederica,菲蕾德翠卡,條頓,和平的領導者。
Giselle,吉榭爾,條頓,一把劍
Hilda,希爾達,條頓,戰鬥；女戰士
Hulda,胡爾達,條頓,優雅，被大眾深深喜愛的。
Lindsay,琳賽,條頓,來自海邊的菩提樹。
Louise,璐易絲,條頓,著名的戰士。
Roberta,蘿勃塔,條頓,輝煌的名聲；燦爛。
Truda,杜達,條頓,受喜愛的女孩。
Ula,優拉,條頓,擁有祖產，並會管理的人。
Wanda,旺妲,條頓,樹幹；流浪者。
Wendy,溫蒂,條頓,有冒險精神的女孩；白眉毛的；另一種。
Emily,艾蜜莉,條頓，拉丁,勤勉奮發的；有一口響亮圓潤的嗓音之人；拍馬屁的人。
Zora,若拉,斯拉夫,黎明。
Elva,艾娃,斯堪的那維亞,神奇且智慧的。
Ingrid,英格麗,斯堪的那維亞,女兒；可愛的人。
Sigrid,西格莉德,斯堪的那維亞,最被喜愛的人；勝利的。
Evelyn,伊芙琳,塞爾特,生命；易相處的人；令人愉快的人。
Florence,弗羅倫絲,塞爾特,開花的或美麗的。
Gwendolyn,關德琳,塞爾特,白色眉毛的。
Mavis,梅薇思,塞爾特,如畫眉鳥的歌聲；快樂。
Myrna,蜜爾娜,塞爾特,彬彬有禮。
Enid,伊妮德,塞爾特人,純潔得毫無瑕庛。
Sheila,希拉,愛爾蘭,少女；年輕女人；盲目的。
Cara,卡拉,義大利,朋友；親愛的人。
Gemma,姬瑪,義大利,寶石
Rita,莉達,義大利,珍珠；勇敢的；誠實的。
Teresa,特麗莎,葡萄牙,豐收。
Breenda,布藍達,蓋爾,挑撥者；劍；黑髮
Deirdre,迪得莉,蓋爾,憂愁的。
Eileen,愛琳,蓋爾,光亮的，討人喜歡的。
Erin,艾琳,蓋爾,鑲在海中是的翡翠；和平，安寧之源。
Kelly,凱莉,蓋爾,女戰士。
Lesley,雷思麗,蓋爾,來自老的保壘；冬青園。
Maureen,穆琳,蓋爾,小瑪麗。
Murray,瑪瑞,蓋爾,海員
Sharon,雪倫,蓋爾,很美的公主；平原。
Una,優娜,蓋爾，英國，拉丁,怪人，一人，唯一無二的。
Bridget,布麗姬特,蓋爾或愛爾蘭,強壯，力量
Adela,愛得拉,德國,尊貴的；優雅的。
Adelaide,愛得萊德,德國,高貴的；高貴階級的。
Freda,弗莉達,德國,和平；領導者。
Geraldine,嬌拉汀,德國,強而有力的長矛。
Griselda,葛莉謝爾達,德國,指對丈夫極順從和忍耐的女人。
Hedda,赫達,德國,鬥爭或戰鬥。
Ida,艾達,德國,快樂的，勤奮的，富有的。
Gustave,葛佳絲塔芙,德國，瑞典,戰爭。
Belinda,貝琳達,德國、義大利,像條蛇。有智慧又長壽的人。
Arlene,艾琳娜,賽爾特,誓約、信物。
Jo,喬,蘇格蘭,戀人。
Wallis,華莉絲,蘇格蘭,異鄉人。
Violet,維爾莉特,蘇格蘭、義大利,紫羅蘭；謙虛。
